Category,Taiwanese,Tai-lo,Mandarin,English
Survival basics,你好,lí-hó,你好,hello
Survival basics,食飽未,tsia̍h-pá--buē,吃飽了嗎,have you eaten? (greeting)
Survival basics,多謝,to-siā,謝謝,thank you
Survival basics,毋免客氣,m̄-bián kheh-khì,不客氣,you're welcome
Survival basics,歹勢,pháinn-sè,不好意思,sorry (informal); embarrassed
Survival basics,再會,tsài-huē,再見,goodbye
Survival basics,明仔載見,bîn-á-tsài kìnn,明天見,see you tomorrow
Survival basics,你食飽未,lí tsia̍h-pá--buē,你吃飽了沒,have you eaten yet?
Survival basics,你咧創啥,lí leh tshòng siánn,你在做什麼,what are you doing?
Survival basics,你會曉講台語無,lí ē-hiáu kóng Tâi-gí--bô,你會說台語嗎,can you speak Taiwanese?
Survival basics,我聽無,guá thiann-bô,我聽不懂,I don't understand (hearing)
Survival basics,我毋知,guá m̄-tsai,我不知道,I don't know
Survival basics,好,hó,好,good; okay
Survival basics,毋好,m̄-hó,不好,not good; don't
Survival basics,會使無,ē-sái--bô,可以嗎,is it okay?
Survival basics,無問題,bô-būn-tê,沒問題,no problem
Survival basics,等一下,tán--tsi̍t-ē,等一下,wait a moment
Survival basics,敢,kám,難道；反問語氣,question particle (yes/no)
Survival basics,乎,--honnh,呵（語尾）,sentence-final tag (right?)
Pronouns,我,guá,我,I; me
Pronouns,你,lí,你,you (singular)
Pronouns,伊,i,他/她/它,he; she; it
Pronouns,阮,guán,我們(不含聽話者),we/us (exclusive)
Pronouns,咱,lán,咱們(含聽話者),we/us (inclusive)
Pronouns,恁,lín,你們,you (plural)
Pronouns,𪜶,in,他們,they; them
Pronouns,我的,guá ê,我的,my; mine
Pronouns,你的,lí ê,你的,your; yours
Pronouns,家己,ka-kī,自己,oneself
Pronouns,逐家,ta̍k-ke,大家,everyone
Grammar,真,tsin,很,very
Grammar,這个,tsit--ê,這個,"this (modifier, e.g. this X)"
Grammar,彼个,hit--ê,那個,"that (modifier, e.g. that X)"
Grammar,這,tse,這,this (standalone, "this thing")
Grammar,彼,he,那,that (standalone, "that thing")
Grammar,有,ū,有,have; there is
Grammar,無,bô,沒有,don't have; there isn't
Grammar,毋,m̄,不 (否定),not (general negation)
Grammar,是,sī,是,to be (is/am/are)
Grammar,毋是,m̄-sī,不是,is not
Grammar,著,tio̍h,對；是,right; correct; yes (agreement)
Grammar,毋著,m̄-tio̍h,不對,wrong; not right
Grammar,的,ê,的,possessive/attributive particle
Grammar,咧,teh,在（進行）,progressive particle (-ing)
Grammar,矣,--ah,了（語尾）,sentence-final change-of-state particle
Grammar,个,ê,個,generic classifier
Question words,啥物,siánn-mih,什麼,what
Question words,啥人,siánn-lâng,誰,who
Question words,佗位,tó-uī,哪裡,where
Question words,當時,tang-sî,什麼時候,when
Question words,底時,tī-sî,何時,when (alt.)
Question words,啥物時陣,siánn-mih sî-tsūn,什麼時候,when (lit. what time)
Question words,按怎,án-tsuánn,怎麼,how
Question words,按呢,án-ne,這樣,like this; so
Question words,偌濟,guā-tsē,多少,how much/many
Question words,偌濟錢,guā-tsē tsînn,多少錢,how much money
Question words,哪一个,tó tsi̍t ê,哪一個,which one
Question words,為啥物,uī-siánn-mih,為什麼,why
Question words,佇佗位,tī tó-uī,在哪裡,where (at)?
Question words,佇,tī,在,at; in; on (location)
Question words,遮,tsia,這裡,here
Question words,遐,hia,那裡,there
Question words,所在,sóo-tsāi,地方,place
Question words,物件,mi̍h-kiānn,東西,thing; object
Numbers,一,tsi̍t,一,one
Numbers,兩,nn̄g,二/兩,two
Numbers,三,sann,三,three
Numbers,四,sì,四,four
Numbers,五,gōo,五,five
Numbers,六,la̍k,六,six
Numbers,七,tshit,七,seven
Numbers,八,peh,八,eight
Numbers,九,káu,九,nine
Numbers,十,tsa̍p,十,ten
Numbers,百,pah,百,hundred
Numbers,千,tshing,千,thousand
Numbers,萬,bān,萬,ten thousand
Numbers,幾,kuí,幾,how many (small number)
Food and drink,腹肚枵,pak-tóo-iau,肚子餓,hungry
Food and drink,喙焦,tshuì-ta,口渴,thirsty
Food and drink,食飽,tsia̍h-pá,飽,full (after eating)
Food and drink,食飯,tsia̍h-pn̄g,吃飯,eat (a meal)
Food and drink,啉水,lim tsuí,喝水,drink water
Food and drink,水,tsuí,水,water
Food and drink,茶,tê,茶,tea
Food and drink,咖啡,ka-pi,咖啡,coffee
Food and drink,啉茶,lim tê,喝茶,drink tea
Food and drink,啉酒,lim tsiú,喝酒,drink alcohol
Food and drink,啉,lim,喝,to drink
Food and drink,飯,pn̄g,飯,cooked rice; meal
Food and drink,麵,mī,麵,noodles
Food and drink,好食,hó-tsia̍h,好吃,tasty
Food and drink,牛奶,gû-ling,牛奶,milk
Food and drink,酒,tsiú,酒,alcohol
Food and drink,肉,bah,肉,meat
Food and drink,豬肉,ti-bah,豬肉,pork
Food and drink,雞,ke,雞,chicken
Food and drink,魚,hî,魚,fish
Food and drink,菜,tshài,菜,vegetable; dish
Food and drink,水果,tsuí-kó,水果,fruit
Food and drink,雞卵,ke-nn̄g,雞蛋,egg
Food and drink,糖,thn̂g,糖,sugar
Food and drink,鹽,iâm,鹽,salt
Food and drink,麭,pháng,麵包,bread
Food and drink,湯,thng,湯,soup
Verbs,看,khuànn,看,to see; watch
Verbs,聽,thiann,聽,to listen; hear
Verbs,講,kóng,說,to speak; say
Verbs,去,khì,去,to go
Verbs,來,lâi,來,to come
Verbs,轉,tńg,回,to return; turn
Verbs,行,kiânn,走,to walk
Verbs,走,tsáu,跑,to run
Verbs,徛,khiā,站,to stand
Verbs,坐,tsē,坐,to sit
Verbs,睏,khùn,睡覺,to sleep
Verbs,精神,tsing-sîn,醒來,to wake up
Verbs,讀,tha̍k,讀,to read
Verbs,問,mn̄g,問,to ask
Family & people,人,lâng,人,person; people
Family & people,朋友,pîng-iú,朋友,friend
Family & people,囝,kiánn,兒女;孩子,child; emphasizes parental relationship; usually as a suffix
Family & people,囡仔,gín-á,小孩,child or young person in a general sense (e.g. 囡仔人 gín-á-lâng)
Family & people,查某人,tsa-bóo-lâng,女人,woman
Family & people,查埔人,tsa-poo-lâng,男人,man
Everyday words,欲,beh,要,want to; going to
Everyday words,佮意,kah-ì,喜歡,to like
Everyday words,愛,ài,愛; 想要,to want; to love
Adjectives,媠,suí,漂亮,pretty; beautiful
Adjectives,忝,thiám,累,tired; exhausted
Adjectives,歡喜,huann-hí,高興,happy
Adjectives,受氣,siū-khì,生氣,angry
Adjectives,快樂,khuài-lo̍k,快樂,joyful
Adjectives,傷心,siong-sim,傷心,sad
Adjectives,感謝,kám-siā,感謝,thankful; grateful
Adjectives,無要緊,bô iàu-kín,沒關係,it's okay; no problem
Adjectives,辛苦矣,sin-khóo--ah,辛苦了,thanks for your hard work
Adjectives,無閒,bô-îng,忙,busy
Adjectives,無聊,bô-liâu,無聊,bored; boring
Time,這馬,tsit-má,現在,now
Time,時陣,sî-tsūn,時候,time; moment
Time,今仔日,kin-á-ji̍t,今天,today
Time,昨昏,tsa-hng,昨天,yesterday
Time,明仔載,bîn-á-tsài,明天,tomorrow
Clothes,穿,tshīng,穿,to wear
Clothes,穿衫,tshīng sann,穿衣服,to wear clothes
Clothes,衫,sann,衣服,clothes
Clothes,褲,khòo,褲子,pants
Clothes,鞋,ê,鞋子,shoes
Everyday words,有閒,ū-îng,有空,free (time)
Everyday words,上班,siōng-pan,上班,to go to work
Everyday words,落班,lo̍h-pan,下班,to get off work
Everyday words,起床,khí-tshn̂g,起床,to get out of bed
Everyday words,洗身軀,sé-sin-khu,洗澡,to take a shower/bath
Everyday words,逐工,ta̍k-kang,每天,every day
Everyday words,有時,ū-sî,有時,sometimes
Adjectives,懸,kuân,高,tall; high
Adjectives,矮,é,矮,short (height)
Adjectives,長,tn̂g,長,long
Adjectives,短,té,短,short (length)
Adjectives,大,tuā,大,big
Adjectives,細,sè,小,small
Adjectives,濟,tsē,多,many; much
Adjectives,少,tsió,少,few; little
Adjectives,新,sin,新,new
Adjectives,舊,kū,舊,old (things)
Adjectives,老,lāu,老,old (people)
Adjectives,少年,siàu-liân,年輕,young
Adjectives,燒,sio,熱,hot
Adjectives,冷,líng,冷,cold
Adjectives,熱,jua̍h,熱,hot (weather)
Adjectives,簡單,kán-tan,簡單,simple; easy
Adjectives,困難,khùn-lân,困難,difficult
Adjectives,𠢕,gâu,厲害; 能幹,skillful; capable
Adjectives,早,tsá,早,early
Adjectives,晏,uànn,晚,late
Adjectives,緊,kín,快,hurry; fast
Adjectives,慢,bān,慢,slow
Comparatives & adverbs,較濟,khah-tsē,更多,more
Comparatives & adverbs,較少,khah-tsió,更少,less
Comparatives & adverbs,較大,khah-tuā,更大,bigger
Comparatives & adverbs,較細,khah-sè,更小,smaller
Comparatives & adverbs,一寡,--tsi̍t-kuá,一些,some; a few
Comparatives & adverbs,較濟一寡,khah-tsē--tsi̍t-kuá,更多一些,a bit more (quantity)
Comparatives & adverbs,較少一寡,khah-tsió--tsi̍t-kuá,更少一些,a bit less (quantity)
Places & directions,厝,tshù,家; 房子,house; home
Places & directions,學校,ha̍k-hāu,學校,school
Places & directions,公司,kong-si,公司,company
Places & directions,公園,kong-hn̂g,公園,park
Shopping & money,錢,tsînn,錢,money
Shopping & money,價數,kè-siàu,價格,price
Shopping & money,俗,sio̍k,便宜,cheap
Shopping & money,貴,kuì,貴,expensive
Time,早起,tsá-khí,早上,morning
Time,中晝,tiong-tàu,中午,noon
Time,下晡,ē-poo,下午,afternoon
Time,暗時,àm-sî,晚上,evening; night
Time,暝,mê,夜,night
Time,禮拜,lé-pài,星期,week
Time,工,kang,日,counter for days
Time,月,gue̍h,月,month
Time,年,nî,年,year
Time,點鐘,tiám-tsing,點鐘,o'clock; hour
Time,分鐘,hun-tsing,分鐘,minute
Grammar,想欲,siūnn-beh,想要,would like to
Grammar,會使,ē-sái,可以,can; may
Grammar,袂使,bē-sái,不可以,can't; may not
Grammar,會曉,ē-hiáu,會 (懂得),know how to
Grammar,袂曉,bē-hiáu,不會,don't know how to
Grammar,嘛,mā,也,also; too
Grammar,攏,lóng,都,all; entirely
Grammar,攏總,lóng-tsóng,全部,all; everything; totally
Food & drink,煮食,tsú-tsia̍h,煮飯; 做飯,to cook
Food & drink,甜,tinn,甜,sweet
Food & drink,鹹,kiâm,鹹,salty
Food & drink,汫,tsiánn,淡,bland; not salty
Food & drink,苦,khóo,苦,bitter
Food & drink,辣,lua̍h,辣,spicy hot
Food & drink,酸,sng,酸,sour
Food & drink,芳,phang,香,fragrant; smells good
Time,頂禮拜,tíng-lé-pài,上禮拜,last week
Time,這禮拜,tsit-lé-pài,這禮拜,this week
Time,後禮拜,āu-lé-pài,下禮拜,next week
Time,頂個月,tíng-kò-gue̍h,上個月,last month
Time,這個月,tsit-kò-gue̍h,這個月,this month
Time,後個月,āu-kò-gue̍h,下個月,next month
Time,舊年,kū-nî,去年,last year
Time,今年,kin-nî,今年,this year
Time,明年,mê-nî,明年,next year
Verbs,轉去,tńg--khì,回去,to go back
Verbs,轉來,tńg--lâi,回來,to come back
Verbs,轉去厝,tńg-khì tshù,回家,return home
Verbs,我轉來矣,guá tńg--lâi--ah,我回來了,I'm home / I've come back
Verbs,上車,tsiūnn-tshia,上車,get on a vehicle
Verbs,落車,lo̍h-tshia,下車,get off a vehicle
Verbs,應,ìn,回答,to answer
Verbs,寫,siá,寫,to write
Verbs,買,bé,買,to buy
Verbs,賣,bē,賣,to sell
Verbs,提,the̍h,拿,to take; hold
Verbs,予,hōo,給,to give
Verbs,討,thó,要; 討,to ask for
Verbs,揣,tshuē,找,to look for
Verbs,拍,phah,打,to hit
